iter	Logloss
0	0.6877436066
1	0.6820082855
2	0.6753762054
3	0.6703443909
4	0.6658409882
5	0.659993515
6	0.6551974487
7	0.6493867493
8	0.6447772217
9	0.6395709229
10	0.6347913742
11	0.6299220276
12	0.6257683563
13	0.6222730637
14	0.6186045074
15	0.6141294098
16	0.6109309769
17	0.606795578
18	0.6025273132
19	0.598438797
20	0.5951337433
21	0.5911988831
22	0.5878413391
23	0.5840088654
24	0.5795661926
25	0.575830574
26	0.5718431854
27	0.5687242126
28	0.5656820679
29	0.5620060349
30	0.5588142014
31	0.555100708
32	0.5525759888
33	0.5485696793
34	0.5449806213
35	0.5425882339
36	0.5392755508
37	0.5364257431
38	0.5336462784
39	0.5311923218
40	0.5280062866
41	0.5246260071
42	0.5215203857
43	0.5187670517
44	0.5158975983
45	0.5134207916
46	0.510228157
47	0.5083235931
48	0.5053926086
49	0.5028943253
50	0.5002084732
51	0.49734478
52	0.4948290253
53	0.4928754044
54	0.4903565979
55	0.4875481796
56	0.4851530838
57	0.4830753708
58	0.4810382843
59	0.478694458
60	0.4771411133
61	0.4749275208
62	0.4726520157
63	0.4706055832
64	0.4681830597
65	0.4658491135
66	0.4641045761
67	0.4621474457
68	0.4599977112
69	0.457647171
70	0.4557315826
71	0.4534436798
72	0.4508920288
73	0.4489019775
74	0.447054863
75	0.4451417542
76	0.4434802246
77	0.4415474319
78	0.4394425964
79	0.4377890015
80	0.4361949921
81	0.4347852707
82	0.4329569626
83	0.4315918732
84	0.4297760773
85	0.428278656
86	0.4266741943
87	0.4250508881
88	0.4237916183
89	0.4222116852
90	0.4205718994
91	0.4187499237
92	0.4177786255
93	0.4161246109
94	0.4147386169
95	0.4133743286
96	0.4119805145
97	0.4106073761
98	0.4089524841
99	0.4075084305
100	0.4064372635
101	0.40512043
102	0.403553772
103	0.4022092438
104	0.4009088135
105	0.3997891998
106	0.3985916138
107	0.3975914001
108	0.3961053467
109	0.3942770386
110	0.3932478714
111	0.3916998291
112	0.3905678558
113	0.3891029358
114	0.3880825424
115	0.3867995453
116	0.3857753372
117	0.3844254684
118	0.3830757904
119	0.3820882416
120	0.3809601212
121	0.3797907257
122	0.37846241
123	0.377382431
124	0.376402092
125	0.3756765747
126	0.3745335388
127	0.3737993622
128	0.3726351929
129	0.3715286255
130	0.3707620239
131	0.369679184
132	0.3686375809
133	0.3678533936
134	0.3666530609
135	0.3651266861
136	0.3641699982
137	0.3634542084
138	0.3624899292
139	0.361517868
140	0.3606757355
141	0.3598379135
142	0.3589045334
143	0.3583161926
144	0.357456131
145	0.3565356827
146	0.3554517746
147	0.35430336
148	0.3536857605
149	0.3528548431
150	0.3522764969
151	0.3510722351
152	0.350052948
153	0.3490353394
154	0.3483594513
155	0.3470240021
156	0.3462236404
157	0.3448511505
158	0.3443306351
159	0.3441786957
160	0.3428908539
161	0.3423205566
162	0.3416656876
163	0.3405724335
164	0.339798584
165	0.3387501144
166	0.3381510162
167	0.3371395874
168	0.3363064957
169	0.3355767822
170	0.3350205231
171	0.3340840149
172	0.3336048126
173	0.3329737854
174	0.3321575546
175	0.3312580109
176	0.3306882477
177	0.3300146484
178	0.3290505981
179	0.3284395599
180	0.3276057053
181	0.32701828
182	0.3262782288
183	0.3252357864
184	0.3245832062
185	0.3237566757
186	0.3229027557
187	0.3222579956
188	0.3217751312
189	0.3203801727
190	0.3199214935
191	0.3194267273
192	0.3187072754
193	0.317980938
194	0.31753479
195	0.3169629669
196	0.3163565445
197	0.3160020828
198	0.3153255844
199	0.3145714569
